iter	Logloss
0	0.6833755561
1	0.6749422163
2	0.6663020397
3	0.6592699653
4	0.6515437505
5	0.6445524551
6	0.6394327746
7	0.6322021332
8	0.6268437842
9	0.6216264825
10	0.6176603557
11	0.612620529
12	0.6090902344
13	0.6062788129
14	0.6033496248
15	0.5993854262
16	0.5967796286
17	0.5935589468
18	0.5915390774
19	0.5886366928
20	0.587241799
21	0.5850130248
22	0.5824599408
23	0.5807364525
24	0.5790228233
25	0.5767702437
26	0.5745767483
27	0.5722433347
28	0.5706128228
29	0.5690858443
30	0.5677862042
31	0.5656667348
32	0.5644628453
33	0.5628302384
34	0.5615078258
35	0.5607110183
36	0.5595245388
37	0.5582002237
38	0.5569302499
39	0.5554934753
40	0.5544564748
41	0.553466119
42	0.552026684
43	0.5511741335
44	0.5501341766
45	0.5491259539
46	0.5478661806
47	0.5467512373
48	0.5459030088
49	0.5457656646
50	0.5447915589
51	0.5442719177
52	0.544153842
53	0.5439352751
54	0.5430286059
55	0.5424740085
56	0.5422069779
57	0.5415394241
58	0.5407914031
59	0.5398363785
60	0.5396658358
61	0.5384739242
62	0.5377074815
63	0.5376810114
64	0.5365181148
65	0.5358874464
66	0.5358862702
67	0.5358605145
68	0.5349749033
69	0.5346824899
70	0.5342710656
71	0.5341827642
72	0.5335973992
73	0.5331549618
74	0.5326920912
75	0.532281047
76	0.5321251891
77	0.5320673813
78	0.5320669114
79	0.5318976818
80	0.5318621803
81	0.5317497529
82	0.5312128251
83	0.5303985013
84	0.5298917765
85	0.5287766249
86	0.5287507899
87	0.5285403126
88	0.5279440335
89	0.5274364557
90	0.5271532259
91	0.5261749231
92	0.525601336
93	0.5249380536
94	0.5241365015
95	0.5236709093
96	0.5233881491
97	0.5231584146
98	0.5227732194
99	0.5225417777
100	0.522263965
101	0.5219091959
102	0.5216116684
103	0.5212101123
104	0.5211965675
105	0.5210433563
106	0.5206655714
107	0.5201493148
108	0.5200264107
109	0.5199517499
110	0.5197738777
111	0.519688131
112	0.5194613999
113	0.5192014101
114	0.5187239046
115	0.5181045334
116	0.5178562592
117	0.5175988919
118	0.5174384562
119	0.5171909809
120	0.5169987383
121	0.5169426648
122	0.5167856818
123	0.5166943376
124	0.5166943273
125	0.5164244905
126	0.5159227624
127	0.5158584409
128	0.5155541361
129	0.5155243946
130	0.5153253544
131	0.5151784376
132	0.5149427527
133	0.5143728589
134	0.5143176176
135	0.5141110458
136	0.5140772642
137	0.5139731777
138	0.5136294006
139	0.5135042025
140	0.513495089
141	0.5131376986
142	0.5128702382
143	0.512613037
144	0.512388239
145	0.5123847642
146	0.5120269237
147	0.511818012
148	0.5116762701
149	0.511434502
150	0.5108252177
151	0.5106077757
152	0.5105550034
153	0.5102064323
