iter	Passed	Remaining
0	236	118159
1	332	82675
2	457	75758
3	574	71215
4	691	68484
5	804	66250
6	883	62208
7	995	61193
8	1110	60581
9	1211	59379
10	1323	58852
11	1439	58528
12	1555	58260
13	1651	57338
14	1762	56996
15	1866	56448
16	1975	56141
17	2085	55831
18	2192	55514
19	2300	55210
20	2413	55045
21	2528	54927
22	2627	54486
23	2739	54326
24	2848	54121
25	2965	54063
26	3079	53943
27	3188	53750
28	3295	53520
29	3409	53418
30	3524	53317
31	3638	53211
32	3750	53078
33	3867	53011
34	3977	52839
35	4090	52723
36	4191	52447
37	4286	52111
38	4404	52062
39	4520	51991
40	4631	51849
41	4741	51702
42	4850	51550
43	4961	51420
44	5077	51344
45	5190	51226
46	5301	51097
47	5421	51050
48	5538	50978
49	5593	50339
50	5705	50235
51	5817	50119
52	5886	49642
53	5965	49270
54	6071	49122
55	6186	49052
56	6240	48499
57	6355	48434
58	6476	48408
59	6595	48366
60	6703	48243
61	6823	48205
62	6935	48108
63	6969	47477
64	7082	47401
65	7199	47341
66	7220	46662
67	7262	46135
68	7377	46082
69	7500	46076
70	7618	46031
71	7677	45636
72	7793	45585
73	7907	45518
74	8018	45440
75	8146	45447
76	8257	45361
77	8324	45039
78	8342	44455
79	8463	44432
80	8511	44030
81	8589	43787
82	8701	43715
83	8822	43693
84	8942	43661
85	9059	43613
86	9090	43151
87	9201	43077
88	9315	43020
89	9434	42977
90	9546	42907
91	9659	42839
92	9776	42784
93	9885	42698
94	10001	42638
95	10119	42584
96	10232	42513
97	10342	42423
98	10463	42381
99	10582	42331
100	10703	42283
101	10819	42216
102	10932	42139
103	11049	42074
104	11103	41770
105	11210	41669
106	11325	41598
107	11455	41579
108	11574	41518
109	11659	41337
110	11765	41233
111	11883	41166
112	11989	41061
113	12101	40975
114	12213	40887
115	12329	40813
116	12455	40773
117	12561	40665
118	12674	40580
119	12795	40519
120	12913	40449
121	13030	40372
122	13143	40284
123	13254	40192
124	13274	39824
125	13391	39750
126	13508	39674
127	13614	39566
128	13725	39473
129	13793	39259
130	13904	39166
131	14020	39088
